relative_prob_transmission,days_post_infection,proportion_transmission_abated,cumulative_transmission,cumulative_transmission_abated
0.1424166,1.11,0.000278158,0.011304933,0.988695067
0.144837681,1.12,0.000282887,0.01158782,0.98841218
0.147272542,1.13,0.000287642,0.011875462,0.988124538
0.149720771,1.14,0.000292424,0.012167887,0.987832113
0.152181955,1.15,0.000297231,0.012465118,0.987534882
0.154655688,1.16,0.000302063,0.012767181,0.987232819
0.157141565,1.17,0.000306918,0.013074099,0.986925901
0.159639186,1.18,0.000311796,0.013385895,0.986614105
0.162148153,1.19,0.000316696,0.013702591,0.986297409
0.164668073,1.2,0.000321618,0.014024209,0.985975791
0.167212772,1.21,0.000326588,0.014350798,0.985649202
0.169768484,1.22,0.00033158,0.014682378,0.985317622
0.172334784,1.23,0.000336592,0.01501897,0.98498103
0.17491125,1.24,0.000341624,0.015360594,0.984639406
0.177497464,1.25,0.000346676,0.01570727,0.98429273
0.180093014,1.26,0.000351745,0.016059015,0.983940985
0.18269749,1.27,0.000356832,0.016415847,0.983584153
0.185310489,1.28,0.000361936,0.016777783,0.983222217
0.187931611,1.29,0.000367055,0.017144838,0.982855162
0.190560461,1.3,0.000372189,0.017517027,0.982482973
0.193212407,1.31,0.000377369,0.017894396,0.982105604
0.195872178,1.32,0.000382564,0.01827696,0.98172304
0.19853935,1.33,0.000387773,0.018664733,0.981335267
0.201213507,1.34,0.000392996,0.019057729,0.980942271
0.203894234,1.35,0.000398232,0.019455961,0.980544039
0.206581124,1.36,0.00040348,0.019859441,0.980140559
0.209273773,1.37,0.000408739,0.02026818,0.97973182
0.211971785,1.38,0.000414009,0.020682189,0.979317811
0.214674766,1.39,0.000419288,0.021101476,0.978898524
0.21738233,1.4,0.000424576,0.021526052,0.978473948
0.220111308,1.41,0.000429906,0.021955959,0.978044041
0.222845015,1.42,0.000435245,0.022391204,0.977608796
0.225583037,1.43,0.000440593,0.022831797,0.977168203
0.22832497,1.44,0.000445948,0.023277745,0.976722255
0.231070413,1.45,0.000451311,0.023729056,0.976270944
0.233818971,1.46,0.000456679,0.024185735,0.975814265
0.236570255,1.47,0.000462053,0.024647787,0.975352213
0.239323882,1.48,0.000467431,0.025115218,0.974884782
0.242079474,1.49,0.000472813,0.025588031,0.974411969
0.24483666,1.5,0.000478198,0.026066229,0.973933771
0.247613634,1.51,0.000483622,0.026549851,0.973450149
0.250392402,1.52,0.000489049,0.027038899,0.972961101
0.25317257,1.53,0.000494479,0.027533379,0.972466621
0.255953751,1.54,0.000499911,0.02803329,0.97196671
0.258735563,1.55,0.000505344,0.028538634,0.971461366
0.261517632,1.56,0.000510778,0.029049412,0.970950588
